title,series_name,series_n,year_first_published,author_name,num_pages,num_ratings,num_reviews,average_rating,main_genre,saga
The Well of Ascension,The Mistborn Saga,2.0,2007.0,Brandon Sanderson,590.0,351248,20005,4.37,Fantasy,Saga (continuation)
The Hero of Ages,The Mistborn Saga,3.0,2008.0,Brandon Sanderson,572.0,323920,20795,4.5,Fantasy,Saga (continuation)
The Alloy of Law,The Mistborn Saga,4.0,2011.0,Brandon Sanderson,332.0,165193,9873,4.21,Fantasy,Saga (continuation)
Shadows of Self,The Mistborn Saga,5.0,2015.0,Brandon Sanderson,383.0,105732,5982,4.29,Fantasy,Saga (continuation)
The Bands of Mourning,The Mistborn Saga,6.0,2016.0,Brandon Sanderson,448.0,94533,5442,4.41,Fantasy,Saga (continuation)
The Lost Metal,The Mistborn Saga,7.0,,Brandon Sanderson,464.0,1725,53,4.35,Fantasy,Saga (continuation)
The Ballad of Songbirds and Snakes,The Hunger Games,0.0,2020.0,Suzanne Collins,541.0,287741,36146,3.82,Young Adult,Saga (continuation)
The Hunger Games,The Hunger Games,1.0,2008.0,Suzanne Collins,374.0,7363176,184279,4.32,Young Adult,Saga (first book)
Catching Fire,The Hunger Games,2.0,2009.0,Suzanne Collins,391.0,2964748,103377,4.3,Young Adult,Saga (continuation)
Mockingjay,The Hunger Games,3.0,2010.0,Suzanne Collins,398.0,2722872,110111,4.06,Young Adult,Saga (continuation)
Twilight,The Twilight Saga,1.0,2006.0,Stephenie Meyer,498.0,5728651,114789,3.63,Fantasy,Saga (first book)
New Moon,The Twilight Saga,2.0,2006.0,Stephenie Meyer,563.0,1686872,51775,3.57,Young Adult,Saga (continuation)
Eclipse,The Twilight Saga,3.0,2007.0,Stephenie Meyer,629.0,1610973,40703,3.71,Young Adult > Teen,Saga (continuation)
Breaking Dawn,The Twilight Saga,4.0,2008.0,Stephenie Meyer,756.0,1506265,49738,3.72,Young Adult,Saga (continuation)
Midnight Sun,The Twilight Saga,5.0,2020.0,Stephenie Meyer,658.0,179392,26363,3.72,Fantasy,Saga (continuation)
The Hobbit,The Lord of the Rings,0.0,2002.0,J.R.R. Tolkien,366.0,3361620,57153,4.28,Fantasy,Saga (continuation)
The Fellowship of the Ring,The Lord of the Rings,1.0,1973.0,J.R.R. Tolkien,527.0,2570023,29282,4.38,Fantasy,Saga (first book)
The Two Towers,The Lord of the Rings,2.0,1973.0,J.R.R. Tolkien,447.0,821282,14074,4.46,Fantasy,Saga (continuation)
The Return of the King,The Lord of the Rings,3.0,1974.0,J.R.R. Tolkien,385.0,769676,13297,4.55,Fantasy,Saga (continuation)
Divergent,Divergent,1.0,2012.0,Veronica Roth,487.0,3425949,113377,4.16,Young Adult,Saga (first book)
Insurgent,Divergent,2.0,2012.0,Veronica Roth,525.0,1334873,60733,4.0,Young Adult,Saga (continuation)
Allegiant,Divergent,3.0,2013.0,Veronica Roth,526.0,941426,68083,3.61,Young Adult,Saga (continuation)
New Spring,The Wheel of Time,0.0,2004.0,Robert Jordan,423.0,89567,2473,4.04,Fantasy,Saga (continuation)
Earlier-Ravens,The Wheel of Time,1.0,2002.0,Robert Jordan,,326,22,3.6,Fantasy,Saga (first book)
The Great Hunt,The Wheel of Time,2.0,1991.0,Robert Jordan,705.0,271609,7895,4.25,Fantasy,Saga (continuation)
The Dragon Reborn,The Wheel of Time,3.0,2002.0,Robert Jordan,624.0,249315,6131,4.26,Fantasy,Saga (continuation)
The Shadow Rising,The Wheel of Time,4.0,1993.0,Robert Jordan,1007.0,199482,5118,4.26,Fantasy,Saga (continuation)
The Fires of Heaven,The Wheel of Time,5.0,1994.0,Robert Jordan,912.0,160721,4158,4.17,Fiction,Saga (continuation)
Lord of Chaos,The Wheel of Time,6.0,1995.0,Robert Jordan,1011.0,148857,3795,4.16,Fantasy,Saga (continuation)
A Crown of Swords,The Wheel of Time,7.0,1997.0,Robert Jordan,880.0,143385,3101,4.05,Fantasy,Saga (continuation)
The Path of Daggers,The Wheel of Time,8.0,1999.0,Robert Jordan,685.0,123324,2775,3.92,Fantasy,Saga (continuation)
Snow: The Prologue to Winter's Heart,The Wheel of Time,9.0,2000.0,Robert Jordan,,438,4,4.13,Fantasy,Saga (continuation)
Glimmers: Prologue to Crossroads of Twilight,The Wheel of Time,10.0,2002.0,Robert Jordan,107.0,1232,8,4.14,Fantasy,Saga (continuation)
Knife of Dreams,The Wheel of Time,11.0,2006.0,Robert Jordan,860.0,113781,2751,4.16,Fantasy,Saga (continuation)
What the Storm Means: Prologue to The Gathering Storm,The Wheel of Time,12.0,2009.0,Robert Jordan,64.0,656,7,4.34,Fantasy,Saga (continuation)
Towers of Midnight,The Wheel of Time,13.0,2010.0,Robert Jordan,863.0,138462,3505,4.44,Fantasy,Saga (continuation)
By Grace and Banners Fallen: Prologue to A Memory of Light,The Wheel of Time,14.0,2012.0,Robert Jordan,74.0,4015,41,4.55,Fantasy,Saga (continuation)
A Court of Thorns and Roses,A Court of Thorns and Roses,1.0,2020.0,Sarah J. Maas,432.0,976193,81130,4.19,Fantasy,Saga (first book)
A Court of Mist and Fury,A Court of Thorns and Roses,2.0,2016.0,Sarah J. Maas,626.0,694719,67305,4.61,Fantasy,Saga (continuation)
A Court of Wings and Ruin,A Court of Thorns and Roses,3.0,2017.0,Sarah J. Maas,705.0,554931,44816,4.43,Fantasy,Saga (continuation)
A ​Court of Silver Flames,A Court of Thorns and Roses,4.0,2021.0,Sarah J. Maas,757.0,301489,33620,4.4,Fantasy,Saga (continuation)
The Way of Kings,The Stormlight Archive,1.0,2010.0,Brandon Sanderson,1007.0,378925,25802,4.64,Fantasy,Saga (first book)
Words of Radiance,The Stormlight Archive,2.0,2014.0,Brandon Sanderson,1087.0,263111,15791,4.75,Fantasy,Saga (continuation)
Oathbringer,The Stormlight Archive,3.0,2017.0,Brandon Sanderson,1248.0,174939,11040,4.6,Fantasy,Saga (continuation)
Rhythm of War,The Stormlight Archive,4.0,2020.0,Brandon Sanderson,1230.0,84523,7299,4.62,Fantasy,Saga (continuation)
The Name of the Wind,The Kingkiller Chronicle,1.0,2007.0,Patrick Rothfuss,662.0,828685,47593,4.52,Fantasy,Saga (first book)
The Wise Man's Fear,The Kingkiller Chronicle,2.0,2011.0,Patrick Rothfuss,994.0,486794,24369,4.55,Fantasy,Saga (continuation)
The Doors of Stone,The Kingkiller Chronicle,3.0,,Patrick Rothfuss,896.0,4156,743,3.62,Fantasy,Saga (continuation)
The Just City,Thessaly,1.0,2015.0,Jo Walton,368.0,6703,1209,3.79,Fantasy,Saga (first book)
The Philosopher Kings,Thessaly,2.0,2015.0,Jo Walton,348.0,2284,371,3.93,Fantasy,Saga (continuation)
Necessity,Thessaly,3.0,2016.0,Jo Walton,336.0,1474,251,3.95,Fantasy,Saga (continuation)
The Black Tides of Heaven,Tensorate,1.0,2017.0,Neon Yang,236.0,9676,1890,3.74,Fantasy,Saga (first book)
The Red Threads of Fortune,Tensorate,2.0,2017.0,Neon Yang,213.0,4244,666,3.9,Fantasy,Saga (continuation)
The Descent of Monsters,Tensorate,3.0,2018.0,Neon Yang,166.0,2501,435,3.9,Fantasy,Saga (continuation)
The Ascent to Godhood,Tensorate,4.0,2019.0,Neon Yang,122.0,1727,301,4.05,Fantasy,Saga (continuation)
Clockwork Angel,The Infernal Devices,1.0,2010.0,Cassandra Clare,479.0,763799,37037,4.32,Fantasy,Saga (first book)
Clockwork Prince,The Infernal Devices,2.0,2011.0,Cassandra Clare,498.0,506662,27420,4.43,Fantasy,Saga (continuation)
Clockwork Princess,The Infernal Devices,3.0,2013.0,Cassandra Clare,567.0,400610,35251,4.56,Fantasy,Saga (continuation)
Six of Crows,Six of Crows,1.0,2015.0,Leigh Bardugo,465.0,650934,73180,4.49,Fantasy,Saga (first book)
Crooked Kingdom,Six of Crows,2.0,2016.0,Leigh Bardugo,561.0,436727,51227,4.61,Fantasy,Saga (continuation)
Throne of Glass,Throne of Glass,1.0,2012.0,Sarah J. Maas,406.0,832328,57187,4.19,Fantasy,Saga (first book)
Crown of Midnight,Throne of Glass,2.0,2013.0,Sarah J. Maas,420.0,507366,37776,4.36,Fantasy,Saga (continuation)
Heir of Fire,Throne of Glass,3.0,2014.0,Sarah J. Maas,565.0,429949,32821,4.46,Fantasy,Saga (continuation)
Queen of Shadows,Throne of Glass,4.0,2015.0,Sarah J. Maas,648.0,373289,28207,4.55,Fantasy,Saga (continuation)
Empire of Storms,Throne of Glass,5.0,2016.0,Sarah J. Maas,689.0,310439,26565,4.55,Fantasy,Saga (continuation)
Tower of Dawn,Throne of Glass,6.0,2017.0,Sarah J. Maas,660.0,217513,19402,4.28,Fantasy,Saga (continuation)
Kingdom of Ash,Throne of Glass,7.0,2018.0,Sarah J. Maas,984.0,232197,23650,4.6,Fantasy,Saga (continuation)
From Blood and Ash,Blood and Ash,1.0,2020.0,Jennifer L. Armentrout,622.0,272933,30063,4.31,Fantasy,Saga (first book)
A Kingdom of Flesh and Fire,Blood and Ash,2.0,2020.0,Jennifer L. Armentrout,637.0,186010,17566,4.45,Fantasy,Saga (continuation)
The ​Crown of Gilded Bones,Blood and Ash,3.0,2021.0,Jennifer L. Armentrout,645.0,130396,13696,4.25,Fantasy,Saga (continuation)
The War of Two Queens,Blood and Ash,4.0,2022.0,Jennifer L. Armentrout,628.0,43324,6993,4.05,Fantasy,Saga (continuation)
Eragon,The Inheritance Cycle,1.0,2005.0,Christopher Paolini,503.0,1594348,24318,3.92,Fantasy,Saga (first book)
Eldest,The Inheritance Cycle,2.0,2007.0,Christopher Paolini,704.0,397900,10392,4.0,Fantasy,Saga (continuation)
Brisingr,The Inheritance Cycle,3.0,2008.0,Christopher Paolini,748.0,335448,9646,4.06,Fantasy,Saga (continuation)
Inheritance,The Inheritance Cycle,4.0,2011.0,Christopher Paolini,849.0,242968,10828,4.11,Fiction,Saga (continuation)
The Maze Runner,The Maze Runner,1.0,2009.0,James Dashner,384.0,1272470,59909,4.04,Young Adult,Saga (first book)
The Scorch Trials,The Maze Runner,2.0,2010.0,James Dashner,362.0,514937,27984,3.9,Young Adult,Saga (continuation)
The Death Cure,The Maze Runner,3.0,2011.0,James Dashner,325.0,391895,24746,3.78,Young Adult,Saga (continuation)
The Magicians,The Magicians,1.0,2009.0,Lev Grossman,402.0,250003,23560,3.52,Fantasy,Saga (first book)
The Magician King,The Magicians,2.0,2011.0,Lev Grossman,548.0,93532,6844,3.91,Fantasy,Saga (continuation)
The Magician's Land,The Magicians,3.0,2014.0,Lev Grossman,402.0,71641,5379,4.14,Fantasy,Saga (continuation)
The Raven Boys,The Raven Cycle,1.0,2012.0,Maggie Stiefvater,409.0,323822,36005,4.05,Fantasy,Saga (first book)
The Dream Thieves,The Raven Cycle,2.0,2013.0,Maggie Stiefvater,439.0,178253,19692,4.22,Fantasy,Saga (continuation)
"Blue Lily, Lily Blue",The Raven Cycle,3.0,2014.0,Maggie Stiefvater,391.0,144698,15302,4.26,Fantasy,Saga (continuation)
The Raven King,The Raven Cycle,4.0,2016.0,Maggie Stiefvater,439.0,126504,17658,4.25,Fantasy,Saga (continuation)
Parable of the Sower,Earthseed,1.0,2000.0,Octavia E. Butler,345.0,107811,11260,4.2,Fiction,Saga (first book)
Parable of the Talents,Earthseed,2.0,2001.0,Octavia E. Butler,448.0,39608,3618,4.29,Science Fiction,Saga (continuation)
Binti,Binti,1.0,2015.0,Nnedi Okorafor,96.0,61573,8969,3.9,Science Fiction,Saga (first book)
Home,Binti,2.0,2017.0,Nnedi Okorafor,176.0,24246,2890,4.06,Science Fiction,Saga (continuation)
The Night Masquerade,Binti,3.0,2018.0,Nnedi Okorafor,208.0,18503,2296,4.03,Science Fiction,Saga (continuation)
Shadow and Bone,The Shadow and Bone Trilogy,1.0,2012.0,Leigh Bardugo,358.0,720290,67153,3.96,Fantasy,Saga (first book)
Siege and Storm,The Shadow and Bone Trilogy,2.0,2013.0,Leigh Bardugo,435.0,452745,45068,3.86,Fantasy,Saga (continuation)
Ruin and Rising,The Shadow and Bone Trilogy,3.0,2014.0,Leigh Bardugo,422.0,383772,42301,4.03,Fantasy,Saga (continuation)
The Cruel Prince,The Folk of the Air,1.0,2018.0,Holly Black,370.0,607976,59083,4.1,Fantasy,Saga (first book)
The Wicked King,The Folk of the Air,2.0,2019.0,Holly Black,336.0,378411,38542,4.34,Fantasy,Saga (continuation)
The Queen of Nothing,The Folk of the Air,3.0,2019.0,Holly Black,300.0,331235,35183,4.37,Fantasy,Saga (continuation)
Red Queen,Red Queen,1.0,2015.0,Victoria Aveyard,388.0,786992,56146,4.04,Fantasy,Saga (first book)
Glass Sword,Red Queen,2.0,2016.0,Victoria Aveyard,444.0,280433,22999,3.84,Fantasy,Saga (continuation)
King's Cage,Red Queen,3.0,2017.0,Victoria Aveyard,528.0,188090,14860,3.95,Fantasy,Saga (continuation)
War Storm,Red Queen,4.0,2018.0,Victoria Aveyard,662.0,118946,10810,3.86,Fantasy,Saga (continuation)
The Blade Itself,The First Law,1.0,2007.0,Joe Abercrombie,515.0,197291,11554,4.18,Fantasy,Saga (first book)
Before They Are Hanged,The First Law,2.0,2007.0,Joe Abercrombie,441.0,137266,5646,4.32,Fantasy,Saga (continuation)
Last Argument of Kings,The First Law,3.0,2008.0,Joe Abercrombie,536.0,128228,6056,4.3,Fantasy,Saga (continuation)
Best Served Cold,The First Law,4.0,2009.0,Joe Abercrombie,534.0,75341,3664,4.19,Fantasy,Saga (continuation)
The Heroes,The First Law,5.0,2011.0,Joe Abercrombie,581.0,50232,2712,4.31,Fantasy,Saga (continuation)
Red Country,The First Law,6.0,2012.0,Joe Abercrombie,469.0,41785,2464,4.31,Fantasy,Saga (continuation)
Assassin's Apprentice,The Farseer Trilogy,1.0,1996.0,Robin Hobb,435.0,272436,12722,4.17,Fantasy,Saga (first book)
Royal Assassin,The Farseer Trilogy,2.0,2002.0,Robin Hobb,675.0,169437,6078,4.24,Fantasy,Saga (continuation)
Assassin's Quest,The Farseer Trilogy,3.0,2002.0,Robin Hobb,757.0,134575,6116,4.19,Fantasy,Saga (continuation)
Warbreaker,Warbreaker,1.0,2009.0,Brandon Sanderson,688.0,149065,11574,4.29,Fantasy,Saga (first book)
Nightblood,Warbreaker,2.0,,Brandon Sanderson,,166,20,4.27,Fantasy,Saga (continuation)
The Blade Itself,The First Law,1.0,2007.0,Joe Abercrombie,515.0,197291,11554,4.18,Fantasy,Saga (first book)
Before They Are Hanged,The First Law,2.0,2007.0,Joe Abercrombie,441.0,137266,5646,4.32,Fantasy,Saga (continuation)
Last Argument of Kings,The First Law,3.0,2008.0,Joe Abercrombie,536.0,128228,6056,4.3,Fantasy,Saga (continuation)
Best Served Cold,The First Law,4.0,2009.0,Joe Abercrombie,534.0,75341,3664,4.19,Fantasy,Saga (continuation)
The Heroes,The First Law,5.0,2011.0,Joe Abercrombie,581.0,50232,2712,4.31,Fantasy,Saga (continuation)
Red Country,The First Law,6.0,2012.0,Joe Abercrombie,469.0,41785,2464,4.31,Fantasy,Saga (continuation)
The Lies of Locke Lamora,Gentleman Bastard,1.0,2006.0,Scott Lynch,752.0,258037,17452,4.28,Fantasy,Saga (first book)
Red Seas Under Red Skies,Gentleman Bastard,2.0,2018.0,Scott Lynch,578.0,126793,6790,4.24,Fantasy,Saga (continuation)
The Republic of Thieves,Gentleman Bastard,3.0,2013.0,Scott Lynch,650.0,95482,5589,4.21,Fantasy,Saga (continuation)
The Thorn of Emberlain,Gentleman Bastard,4.0,,Scott Lynch,512.0,2385,97,4.29,Fantasy,Saga (continuation)
The Ministry of Necessity,Gentleman Bastard,5.0,,Scott Lynch,,100,3,4.19,Fantasy,Saga (continuation)
The Mage and the Master Spy,Gentleman Bastard,6.0,,Scott Lynch,,64,0,4.16,Fantasy,Saga (continuation)
Inherit the Night,Gentleman Bastard,7.0,,Scott Lynch,,65,4,3.94,Fantasy,Saga (continuation)
A Wizard of Earthsea,Earthsea Cycle,1.0,2004.0,Ursula K. Le Guin,183.0,274973,12084,4.0,Fantasy,Saga (first book)
The Tombs of Atuan,Earthsea Cycle,2.0,2001.0,Ursula K. Le Guin,180.0,101890,4088,4.1,Fantasy,Saga (continuation)
The Farthest Shore,Earthsea Cycle,3.0,2004.0,Ursula K. Le Guin,259.0,102513,2823,4.12,Fantasy,Saga (continuation)
Tehanu,Earthsea Cycle,4.0,2004.0,Ursula K. Le Guin,281.0,42793,2342,3.98,Fantasy,Saga (continuation)
Tales from Earthsea,Earthsea Cycle,5.0,2003.0,Ursula K. Le Guin,280.0,22538,1078,4.07,Fantasy,Saga (continuation)
The Other Wind,Earthsea Cycle,6.0,2003.0,Ursula K. Le Guin,211.0,22758,1328,4.16,Fantasy,Saga (continuation)
A Darker Shade of Magic,Shades of Magic,1.0,2015.0,V.E. Schwab,400.0,272370,34520,4.07,Fantasy,Saga (first book)
A Gathering of Shadows,Shades of Magic,2.0,2016.0,V.E. Schwab,512.0,147153,19390,4.24,Fantasy,Saga (continuation)
A Conjuring of Light,Shades of Magic,3.0,2017.0,V.E. Schwab,624.0,119108,16008,4.34,Fantasy,Saga (continuation)
The Archived,The Archived,1.0,2013.0,Victoria Schwab,327.0,32913,4837,3.96,Fantasy,Saga (first book)
The Unbound,The Archived,2.0,2014.0,Victoria Schwab,360.0,14001,2239,4.22,Fantasy,Saga (continuation)
The Returned,The Archived,3.0,,Victoria Schwab,,105,86,4.17,Fantasy,Saga (continuation)
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,1.0,2007.0,Douglas Adams,193.0,1635203,36338,4.22,Science Fiction,Saga (first book)
The Restaurant at the End of the Universe,The Hitchhiker's Guide to the Galaxy,2.0,2005.0,Douglas Adams,250.0,257529,6955,4.21,Science Fiction,Saga (continuation)
"Life, the Universe and Everything",The Hitchhiker's Guide to the Galaxy,3.0,2005.0,Douglas Adams,224.0,213955,4132,4.19,Science Fiction,Saga (continuation)
"So Long, and Thanks for All the Fish",The Hitchhiker's Guide to the Galaxy,4.0,2008.0,Douglas Adams,225.0,157788,3363,4.09,Science Fiction,Saga (continuation)
Mostly Harmless,The Hitchhiker's Guide to the Galaxy,5.0,1993.0,Douglas Adams,288.0,120413,2992,3.96,Science Fiction,Saga (continuation)
And Another Thing...,The Hitchhiker's Guide to the Galaxy,6.0,2009.0,Douglas Adams,275.0,30025,1695,3.57,Science Fiction,Saga (continuation)
Rivers of London,Rivers of London,1.0,2011.0,Ben Aaronovitch,392.0,111610,10127,3.87,Fantasy,Saga (first book)
Moon Over Soho,Rivers of London,2.0,2011.0,Ben Aaronovitch,375.0,55376,3785,4.09,Fantasy,Saga (continuation)
Whispers Under Ground,Rivers of London,3.0,2012.0,Ben Aaronovitch,418.0,49286,3004,4.15,Fantasy,Saga (continuation)
Broken Homes,Rivers of London,4.0,2013.0,Ben Aaronovitch,357.0,41763,2825,4.17,Fantasy,Saga (continuation)
Foxglove Summer,Rivers of London,5.0,2014.0,Ben Aaronovitch,377.0,37191,2566,4.2,Fantasy,Saga (continuation)
The Hanging Tree,Rivers of London,6.0,2016.0,Ben Aaronovitch,387.0,30061,2101,4.22,Fantasy,Saga (continuation)
Lies Sleeping,Rivers of London,7.0,2018.0,Ben Aaronovitch,406.0,21510,1664,4.25,Fantasy,Saga (continuation)
False Value,Rivers of London,8.0,2020.0,Ben Aaronovitch,416.0,16110,1369,4.12,Fantasy,Saga (continuation)
Amongst Our Weapons,Rivers of London,9.0,2022.0,Ben Aaronovitch,304.0,3938,405,4.45,Fantasy,Saga (continuation)
Dune,Dune,1.0,2019.0,Frank Herbert,658.0,1068746,45409,4.25,Science Fiction,Saga (first book)
Dune Messiah,Dune,2.0,2019.0,Frank Herbert,337.0,197787,8713,3.89,Science Fiction,Saga (continuation)
Children of Dune,Dune,3.0,2019.0,Frank Herbert,609.0,139544,4478,3.95,Science Fiction,Saga (continuation)
God Emperor of Dune,Dune,4.0,2019.0,Frank Herbert,587.0,84961,2895,3.87,Science Fiction,Saga (continuation)
Heretics of Dune,Dune,5.0,2019.0,Frank Herbert,669.0,65238,1623,3.88,Science Fiction,Saga (continuation)
Chapterhouse: Dune,Dune,6.0,2019.0,Frank Herbert,624.0,54787,1372,3.91,Science Fiction,Saga (continuation)
Hunters of Dune,Dune,7.0,2006.0,Frank Herbert,524.0,14488,496,3.66,Science Fiction,Saga (continuation)
Sandworms of Dune,Dune,8.0,2007.0,Frank Herbert,494.0,12276,522,3.66,Science Fiction,Saga (continuation)
Leviathan Wakes,The Expanse,1.0,2011.0,James S.A. Corey,561.0,216416,14813,4.27,Science Fiction,Saga (first book)
Caliban's War,The Expanse,2.0,2012.0,James S.A. Corey,624.0,123886,6934,4.36,Science Fiction,Saga (continuation)
Abaddon's Gate,The Expanse,3.0,2013.0,James S.A. Corey,539.0,104411,5554,4.26,Science Fiction,Saga (continuation)
Cibola Burn,The Expanse,4.0,2014.0,James S.A. Corey,581.0,84427,4593,4.2,Science Fiction,Saga (continuation)
Nemesis Games,The Expanse,5.0,2015.0,James S.A. Corey,536.0,75664,4222,4.42,Science Fiction,Saga (continuation)
Babylon's Ashes,The Expanse,6.0,2016.0,James S.A. Corey,538.0,62210,3410,4.24,Science Fiction,Saga (continuation)
Persepolis Rising,The Expanse,7.0,2017.0,James S.A. Corey,608.0,52023,2962,4.37,Science Fiction,Saga (continuation)
Tiamat's Wrath,The Expanse,8.0,2019.0,James S.A. Corey,534.0,46441,2990,4.57,Science Fiction,Saga (continuation)
Leviathan Falls,The Expanse,9.0,2022.0,James S.A. Corey,528.0,28435,2588,4.54,Science Fiction,Saga (continuation)
Ender's Game,Ender's Saga,1.0,2004.0,Orson Scott Card,324.0,1249770,45843,4.3,Science Fiction,Saga (first book)
Speaker for the Dead,Ender's Saga,2.0,1994.0,Orson Scott Card,382.0,237388,8245,4.08,Science Fiction,Saga (continuation)
Xenocide,Ender's Saga,3.0,1996.0,Orson Scott Card,592.0,149369,4085,3.8,Science Fiction,Saga (continuation)
Children of the Mind,Ender's Saga,4.0,2002.0,Orson Scott Card,370.0,102346,2553,3.77,Science Fiction,Saga (continuation)
Ender in Exile,Ender's Saga,5.0,2008.0,Orson Scott Card,369.0,47152,2201,3.91,Science Fiction,Saga (continuation)
The Last Shadow,Ender's Saga,6.0,2021.0,Orson Scott Card,315.0,2809,303,3.67,Science Fiction,Saga (continuation)
Foundation,Foundation (Publication Order,1.0,2004.0,Isaac Asimov,244.0,474592,13157,4.17,Science Fiction,Saga (first book)
Foundation and Empire,Foundation (Publication Order,2.0,2004.0,Isaac Asimov,244.0,180647,4193,4.22,Science Fiction,Saga (continuation)
Second Foundation,Foundation (Publication Order,3.0,2004.0,Isaac Asimov,256.0,164909,3489,4.26,Science Fiction,Saga (continuation)
Foundation's Edge,Foundation (Publication Order,4.0,2010.0,Isaac Asimov,450.0,79142,1725,4.15,Science Fiction,Saga (continuation)
Foundation and Earth,Foundation (Publication Order,5.0,2004.0,Isaac Asimov,500.0,63749,1728,4.06,Science Fiction,Saga (continuation)
Prelude to Foundation,Foundation (Publication Order,6.0,1994.0,Isaac Asimov,464.0,78137,2063,4.14,Science Fiction,Saga (continuation)
Forward the Foundation,Foundation (Publication Order,7.0,1994.0,Isaac Asimov,464.0,50476,1193,4.15,Science Fiction,Saga (continuation)
The Three-Body Problem,Remembrance of Earth's Past,1.0,2014.0,Liu Cixin,399.0,213667,20803,4.07,Science Fiction,Saga (first book)
The Dark Forest,Remembrance of Earth's Past,2.0,2015.0,Liu Cixin,512.0,92917,7687,4.41,Science Fiction,Saga (continuation)
Death's End,Remembrance of Earth's Past,3.0,2016.0,Liu Cixin,604.0,71852,6741,4.42,Science Fiction,Saga (continuation)
The Midnight Library,,,2020.0,Matt Haig,304.0,944368,110251,4.05,Fiction,Standalone
The Invisible Life of Addie LaRue,,,2020.0,V.E. Schwab,444.0,584015,83315,4.23,Fantasy,Standalone
1984,,,2013.0,George Orwell,298.0,3808026,88601,4.19,Classics,Standalone
Fahrenheit 451,,,2011.0,Ray Bradbury,194.0,2014586,58859,3.98,Classics,Standalone
Brave New World,,,1998.0,Aldous Huxley,268.0,1636073,37706,3.99,Classics,Standalone
The Catcher in the Rye,,,2001.0,J.D. Salinger,277.0,3105169,68473,3.81,Classics,Standalone
The Binding,,,2019.0,Bridget Collins,437.0,57669,9005,3.88,Fantasy,Standalone
All the Crooked Saints,,,2017.0,Maggie Stiefvater,320.0,20596,4598,3.81,Fantasy,Standalone
The Man in the High Castle,,,1992.0,Philip K. Dick,259.0,190497,13001,3.61,Science Fiction,Standalone
